-0.532841, 1.55838, 2.30965
0.713174, -0.23026, 0.16477
0.084983, 1.88623, 2.10141
0.886432, -0.794637, -0.742993
-0.782971, 1.08244, 0.484315
0.809956, -0.573323, 0.002153
-0.23362, 2.02126, 2.03128
-1.01508, 1.01693, 0.518976
-0.654711, 1.3076, 1.45431
0.823058, -0.614947, -0.691557
-0.942922, 0.967519, 1.28485
0.268533, 1.45343, 1.31027
-0.241868, 2.01471, 1.52058
-0.503163, 1.61867, 1.29539
0.927784, -0.889021, -0.538061
-1.02044, 1.02385, 2.13775
-1.31522, 2.38042, 2.47497
0.877554, -0.771846, -0.656927
1.36307, 0.109146, 0.829496
0.528111, 0.511856, 0.538556
